Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-04-03,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,,Suntrust Bank 15 Year Fixed Rate Home Loan,,Offline,15,Fixed,3.7000%,3.8198%,,20%,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-03,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,,Chase 15 Year Fixed Mortgage,,Offline,15,Fixed,3.875%,4.023%,,20%,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-03,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,,Bank of America 15 Year Fixed Mortgage,,Offline,15,Fixed,4.000%,4.314%,,20%,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-03,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,,Wells Fargo 15 Year Fixed Home Loan,,Offline,15,Fixed,4.125%,4.246%,,20%,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-03,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,,Bank of America 30 Year Fixed Mortgage,,Offline,30,Fixed,4.375%,4.586%,,20%,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-03,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,,Chase 30 Year Fixed Mortgage,,Offline,30,Fixed,4.375%,4.460%,,20%,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-03,US,New York,SUNTRUST BANKS INC,USD,Bank,Mortgages,Mortgages,,Suntrust Bank 30 Year Fixed Rate Home Loan,,Offline,30,Fixed,4.4000%,4.4708%,,20%,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-03,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,,Wells Fargo 30 Year Fixed Home Loan,,Offline,30,Fixed,4.500%,4.580%,,20%,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-03,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,,Citibank 30 Year Fixed Mortgage,,Offline,30,Fixed,4.625%,4.746%,,20%,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-03,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,,Wells Fargo 30-Year Fixed-Rate Jumbo Home Loan,,Offline,,Variable,4.625%,4.634%,,20%,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-03,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,,Wells Fargo 5/1 ARM Home Loan,,Offline,,Variable,4.125%,4.678%,,20%,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-03,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,,Wells Fargo 7/1 ARM Home Loan,,Offline,,Variable,4.250%,4.641%,,20%,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-03,US,New York,WELLS FARGO,USD,Bank,Mortgages,Mortgages,,Wells Fargo 15-Year Fixed-Rate Jumbo Home Loan,,Offline,,Variable,4.375%,4.391%,,20%,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
