Date,Bank Name,Tab Name,Years,Balance,APY,Interest Rate
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,3 months,"Below $10,000",0.05%,0.05%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,3 months,"$10,000-$24,999.99",0.05%,0.05%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,3 months,"$25,000-$49,999.99",0.05%,0.05%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,3 months,"$50,000-$99,999.99",0.05%,0.05%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,3 months,"$100,000-$499,999.99",0.05%,0.05%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,3 months,"$500,000-$999,999.99",0.05%,0.05%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,3 months,"$1,000,000+",0.05%,0.05%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,6 months,"Below $10,000",0.07%,0.07%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,6 months,"$10,000-$24,999.99",0.07%,0.07%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,6 months,"$25,000-$49,999.99",0.07%,0.07%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,6 months,"$50,000-$99,999.99",0.07%,0.07%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,6 months,"$100,000-$499,999.99",0.07%,0.07%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,6 months,"$500,000-$999,999.99",0.07%,0.07%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,6 months,"$1,000,000+",0.07%,0.07%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,1 year,"Below $10,000",0.25%,0.25%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,1 year,"$10,000-$24,999.99",0.25%,0.25%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,1 year,"$25,000-$49,999.99",0.25%,0.25%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,1 year,"$50,000-$99,999.99",0.25%,0.25%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,1 year,"$100,000-$499,999.99",0.25%,0.25%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,1 year,"$500,000-$999,999.99",0.25%,0.25%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,1 year,"$1,000,000+",0.25%,0.25%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,2 year,"Below $10,000",0.50%,0.50%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,2 year,"$10,000-$24,999.99",0.50%,0.50%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,2 year,"$25,000-$49,999.99",0.50%,0.50%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,2 year,"$50,000-$99,999.99",0.50%,0.50%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,2 year,"$100,000-$499,999.99",0.50%,0.50%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,2 year,"$500,000-$999,999.99",0.50%,0.50%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,2 year,"$1,000,000+",0.50%,0.50%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,3 year,"Below $10,000",0.70%,0.70%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,3 year,"$10,000-$24,999.99",0.70%,0.70%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,3 year,"$25,000-$49,999.99",0.70%,0.70%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,3 year,"$50,000-$99,999.99",0.70%,0.70%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,3 year,"$100,000-$499,999.99",0.70%,0.70%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,3 year,"$500,000-$999,999.99",0.70%,0.70%
03-03-2018,Citi Bank,CERTIFICATES OF DEPOSIT,3 year,"$1,000,000+",0.70%,0.70%
