Date,Bank_Name,Bank_Product,Bank_Product_Type,Bank_Offer_Feature,Bank_Product_Name,Product_Term,Balance,Product_Interest,Product_Apy,Mortgage_Down_Payment,Mortgage_Loan,Min_Credit_Score_Mortagage,Mortgage_Apr
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,30 Year Fixed,30,,4.500%,,20%,100000,720+,4.809%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,20 Year Fixed,20,,4.250%,,20%,100000,720+,4.685%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,15 Year Fixed,15,,3.750%,,20%,100000,720+,4.316%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,10 Year Fixed,10,,3.750%,,20%,100000,720+,4.455%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,10/1 Libor ARM,30,,4.375%,,20%,100000,720+,4.866%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,7/1 Libor ARM,30,,4.375%,,20%,100000,720+,4.951%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,5/1 Libor ARM,30,,4.375%,,20%,100000,720+,4.998%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,3/1 Libor ARM,30,,4.625%,,20%,100000,720+,5.151%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,30 Year Fixed,30,,4.500%,,20%,300000,720+,4.659%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,20 Year Fixed,20,,4.250%,,20%,300000,720+,4.481%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,15 Year Fixed,15,,3.750%,,20%,300000,720+,4.059%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,10 Year Fixed,10,,3.750%,,20%,300000,720+,4.087%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,10/1 Libor ARM,30,,4.375%,,20%,300000,720+,4.717%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,7/1 Libor ARM,30,,4.375%,,20%,300000,720+,4.801%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,5/1 Libor ARM,30,,4.375%,,20%,300000,720+,4.848%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,3/1 Libor ARM,30,,4.625%,,20%,300000,720+,4.998%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,30 Year Fixed,30,,4.500%,,20%,500000,720+,4.608%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,20 Year Fixed,20,,4.375%,,20%,500000,720+,4.552%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,15 Year Fixed,15,,4.250%,,20%,500000,720+,4.512%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,10 Year Fixed,10,,4.250%,,20%,500000,720+,4.571%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,10/1 Libor ARM,30,,4.250%,,20%,500000,720+,4.63%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,7/1 Libor ARM,30,,4.000%,,20%,500000,720+,4.6%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,5/1 Libor ARM,30,,4.125%,,20%,500000,720+,4.736%
03-14-2018,CITIGROUP INC,Mortgage,Mortgage,Offline,3/1 Libor ARM,30,,4.000%,,20%,500000,720+,4.805%
