,Date,Consumer Deposit Rates,Interest,APY,Product,Terms(months)
10,03/02/2018,"$0–$24,999",0.0001,0.0001,Chase Premier Platinum Checking SM,
11,03/02/2018,"$25,000–$49,999",0.0001,0.0001,Chase Premier Platinum Checking SM,
12,03/02/2018,"50,000+",0.0001,0.0001,Chase Premier Platinum Checking SM,
10,03/02/2018,"$0–$4,999",0.0001,0.0001,Chase Premier Plus Checking SM,
11,03/02/2018,"$5,000–$9,999",0.0001,0.0001,Chase Premier Plus Checking SM,
12,03/02/2018,"$10,000–$24,999",0.0001,0.0001,Chase Premier Plus Checking SM,
13,03/02/2018,"25,000+",0.0001,0.0001,Chase Premier Plus Checking SM,
16,03/02/2018,All Your Balances,0.0001,0.0001,Chase Savings SM,
20,03/02/2018,"$0–$9,999",0.0001,0.0001,Chase Premier Savings,
21,03/02/2018,"$10,000–$24,999",0.0001,0.0001,Chase Premier Savings,
22,03/02/2018,"$25,000–$49,999",0.0001,0.0001,Chase Premier Savings,
23,03/02/2018,"$50,000–$99,999",0.0001,0.0001,Chase Premier Savings,
24,03/02/2018,"$100,000–$249,999",0.0001,0.0001,Chase Premier Savings,
25,03/02/2018,"$250,000–$499,999",0.0001,0.0001,Chase Premier Savings,
26,03/02/2018,"$500,000–$999,999",0.0001,0.0001,Chase Premier Savings,
27,03/02/2018,"$1,000,000–$4,999,999",0.0001,0.0001,Chase Premier Savings,
28,03/02/2018,"$5,000,000–$9,999,999",0.0001,0.0001,Chase Premier Savings,
29,03/02/2018,"$10,000,000+ 1",0.0001,0.0001,Chase Premier Savings,
39,03/02/2018,,0.05%,0.05%,CERTIFICATES OF DEPOSIT (CD) ,21-23
40,03/02/2018,,0.05%,0.05%,CERTIFICATES OF DEPOSIT (CD) ,36-41
41,03/02/2018,,0.70%,0.70%,CERTIFICATES OF DEPOSIT (CD) ,120
45,03/02/2018,,0.01%,0.01%,CERTIFICATES OF DEPOSIT (CD) ,1 (31 days)
46,03/02/2018,,0.01%,0.01%,CERTIFICATES OF DEPOSIT (CD) ,2
47,03/02/2018,,0.01%,0.01%,CERTIFICATES OF DEPOSIT (CD) ,2018-03-05 00:00:00
48,03/02/2018,,0.01%,0.01%,CERTIFICATES OF DEPOSIT (CD) ,2018-06-08 00:00:00
49,03/02/2018,,0.01%,0.01%,CERTIFICATES OF DEPOSIT (CD) ,2018-09-11 00:00:00
50,03/02/2018,,0.01%,0.01%,CERTIFICATES OF DEPOSIT (CD) ,2018-12-14 00:00:00
51,03/02/2018,,0.01%,0.01%,CERTIFICATES OF DEPOSIT (CD) ,15-17
52,03/02/2018,,0.05%,0.05%,CERTIFICATES OF DEPOSIT (CD) ,18-20
53,03/02/2018,,0.05%,0.05%,CERTIFICATES OF DEPOSIT (CD) ,24-29
54,03/02/2018,,0.05%,0.05%,CERTIFICATES OF DEPOSIT (CD) ,30-35
55,03/02/2018,,0.10%,0.10%,CERTIFICATES OF DEPOSIT (CD) ,42-47
56,03/02/2018,,0.10%,0.10%,CERTIFICATES OF DEPOSIT (CD) ,48-59
57,03/02/2018,,0.25%,0.25%,CERTIFICATES OF DEPOSIT (CD) ,60-83
58,03/02/2018,,0.25%,0.25%,CERTIFICATES OF DEPOSIT (CD) ,84-119
