Date,Bank_Name,Bank_Product,Bank_Product_Type,Bank_Offer_Feature,Bank_Product_Name,Product_Term,Balance,Product_Interest,Product_Apy
03-12-2018,PNC,Deposits,Checking,offline,Performance Interest Checking,,10000.0-49999.99,0.01%,0.01%
03-12-2018,PNC,Deposits,Checking,offline,Performance Interest Checking,,50000.0-99999.99,0.01%,0.01%
03-12-2018,PNC,Deposits,Checking,offline,Performance Interest Checking,,100000.0andabove,0.01%,0.01%
03-12-2018,PNC,Deposits,Checking,offline,Performance Select Interest Checking,,2000.0-9999.99,0.01%,0.01%
03-12-2018,PNC,Deposits,Checking,offline,Performance Select Interest Checking,,10000.0-49999.99,0.01%,0.01%
03-12-2018,PNC,Deposits,Checking,offline,Performance Select Interest Checking,,50000.0-99999.99,0.01%,0.01%
03-12-2018,PNC,Deposits,Checking,offline,Performance Select Interest Checking,,100000.0andabove,0.01%,0.01%
03-12-2018,PNC,Deposits,Savings,offline,Standard Rates,,1.0-2499.99,0.01%,0.01%
03-12-2018,PNC,Deposits,Savings,offline,Standard Rates,,2500.0andabove,0.01%,0.01%
03-12-2018,PNC,Deposits,Savings,offline,'S' is for Savings,,1.0-499.99,0.01%,0.01%
03-12-2018,PNC,Deposits,Savings,offline,'S' is for Savings,,500.0-1499.99,0.01%,0.01%
03-12-2018,PNC,Deposits,Savings,offline,'S' is for Savings,,1500.0andabove,0.01%,0.01%
03-12-2018,PNC,Deposits,Money Market,offline,Premiere Money Market Account,,1.0-9999.99,0.03%,0.03%
03-12-2018,PNC,Deposits,Money Market,offline,Premiere Money Market Account,,10000.0-24999.99,0.09%,0.09%
03-12-2018,PNC,Deposits,Money Market,offline,Premiere Money Market Account,,25000.0-49999.99,0.11%,0.11%
03-12-2018,PNC,Deposits,Money Market,offline,Premiere Money Market Account,,50000.0-99999.99,0.13%,0.13%
03-12-2018,PNC,Deposits,Money Market,offline,Premiere Money Market Account,,100000.0-249999.99,0.15%,0.15%
03-12-2018,PNC,Deposits,Money Market,offline,Premiere Money Market Account,,250000.0-499999.99,0.15%,0.15%
03-12-2018,PNC,Deposits,Money Market,offline,Premiere Money Market Account,,500000.0-999999.99,0.17%,0.17%
03-12-2018,PNC,Deposits,Money Market,offline,Premiere Money Market Account,,1000000.0andabove,0.17%,0.17%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,6,1.0-999.99,0.04%,0.04%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,6,1000.0-9999.99,0.06%,0.06%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,6,10000.0-24999.99,0.08%,0.08%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,6,25000.0-99999.99,0.1%,0.1%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,6,100000.0-499999.99,0.12%,0.12%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,6,500000.0andabove,0.14%,0.14%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,12,1.0-999.99,0.04%,0.04%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,12,1000.0-9999.99,0.15%,0.15%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,12,10000.0-24999.99,0.18%,0.18%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,12,25000.0-99999.99,0.2%,0.2%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,12,100000.0-499999.99,0.22%,0.22%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,12,500000.0andabove,0.24%,0.24%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,36,1.0-999.99,0.04%,0.04%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,36,1000.0-9999.99,0.3%,0.3%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,36,10000.0-24999.99,0.35%,0.35%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,36,25000.0-99999.99,0.4%,0.4%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,36,100000.0-499999.99,0.45%,0.45%
03-12-2018,PNC,Deposits,CD,offline,Fixed Rate Certificate of Deposit,36,500000.0andabove,0.5%,0.5%
03-12-2018,PNC,Deposits,CD,offline,Ready Access Certificate of Deposit,12,1000.0 and above,0.15%,0.15%
